event_id,event_ts,user_id,session_id,event_type,page_url,device,browser
71,2018-03-15 05:58:58,u_1021,s_82140,login,/checkout,tablet,edge
72,2018-03-16 21:54:09,u_1004,s_15482,search,/checkout,desktop,firefox
73,2018-03-19 06:17:08,u_1037,s_13804,logout,/checkout,tablet,edge
74,2018-03-19 11:29:08,u_1012,s_77033,click,/search,tablet,safari
75,2018-03-20 03:23:19,u_1073,s_69177,click,/product/456,desktop,chrome
76,2018-03-29 12:34:38,u_1048,s_45382,add_to_cart,/checkout,desktop,safari
77,2018-04-02 21:54:32,u_1045,s_24993,add_to_cart,/account,tablet,firefox
78,2018-04-03 13:57:10,u_1005,s_31643,search,/help,tablet,edge
79,2018-04-09 14:47:11,u_1068,s_12260,click,/cart,desktop,edge
80,2018-04-15 06:45:13,u_1037,s_42914,page_view,/products,tablet,edge
81,2018-04-15 11:11:13,u_1075,s_27361,login,/products,desktop,firefox
82,2018-04-21 15:01:55,u_1020,s_45400,checkout,/account,mobile,firefox
83,2018-04-25 06:30:28,u_1084,s_88047,login,/account,tablet,edge
84,2018-04-27 05:53:34,u_1019,s_13617,click,/cart,desktop,firefox
85,2018-04-27 06:32:43,u_1068,s_28373,logout,/product/123,mobile,edge
86,2018-04-27 12:55:34,u_1068,s_44973,login,/products,mobile,edge
87,2018-04-28 11:22:36,u_1020,s_79514,page_view,/checkout,mobile,chrome
88,2018-04-28 11:44:59,u_1028,s_55870,add_to_cart,/products,tablet,chrome
89,2018-04-28 18:35:01,u_1086,s_28136,scroll,/product/456,mobile,safari
90,2018-05-01 18:32:12,u_1068,s_30861,checkout,/account,mobile,safari
91,2018-05-04 07:29:55,u_1004,s_35144,logout,/search,tablet,safari
92,2018-05-10 07:23:01,u_1048,s_97580,logout,/checkout,desktop,edge
93,2018-05-12 13:38:30,u_1071,s_60328,checkout,/search,desktop,safari
94,2018-05-12 13:49:22,u_1048,s_72518,page_view,/checkout,mobile,edge
95,2018-05-13 17:43:57,u_1094,s_50888,logout,/search,tablet,safari
96,2018-05-20 10:04:57,u_1048,s_79352,search,/help,desktop,chrome
97,2018-05-22 04:14:30,u_1054,s_84177,page_view,/checkout,tablet,edge
98,2018-05-28 01:00:53,u_1029,s_49446,logout,/help,desktop,firefox
99,2018-05-30 00:59:04,u_1021,s_30257,add_to_cart,/product/123,desktop,edge
100,2018-05-31 20:13:12,u_1089,s_93748,add_to_cart,/product/123,mobile,safari
